artist,nationality,gender,year_born,,undergraduate,graduate
Tania Franco Klein,Mexican,,1990,,N/A,University of the Arts London
Torbjørn Rødland,Norwegian,male,1970,,National College of Art and Design in Bergen,University of Stavanger
Kcho (Alexis Leyva Machado),Cuban,male,1970,Cuba,National School of Plastic Arts,None
Dana Kavelina,Ukrainian,,1995,,National Technical University of Ukraine,None
Kaari Upson,American,male,1970,,"New York Studio School of Drawing, Painting and Sculpture",California Institute of the Arts
Alan Chin,American,male,1970,US,New York University,None
Xaveer de Geyter,Dutch,male,1970,,None,None
Dr. Lakra (Jerónimo López Ramírez),Mexican,male,1970,Mexico,None,None
Olaf Breuning,Swiss,male,1970,N/A,None,None
Jonathan Hoefler,American,male,1970,,None,None
Pietro Roccasalva,Italian,male,1970,,None,None
Christian Vetter,Swiss,male,1970,,None,None
Mauro Restiffe,Brazilian,male,1970,,None,None
Abu Bakarr Mansaray,Sierra Leonean,male,1970,,None,None
Felix Akinniran Olunloyo,Nigerian,male,1970,,None,None
Rayed Mohamed,American,,1986,,None,None
Sheelasha Rajbhandari,Nepali,,1988,,None,Tribuvan University
Mohammed Iman Fayaz,American,,1990,,None,None
Max Weisel,American,,1991,,None,None
Amy Congdon,British,,1986,,Norwich University of the Arts,Central St Martins College of Art & Design
Aria Dean,American,,1993,,Oberlin College,None
Sable Elyse Smith,American,,1986,,Oglethorpe University,Parsons School of Design
Jumana Manna,Palestinian,,1987,,Oslo National Academy of the Arts,California Institute of the Arts
Tabor Robak,American,,1986,,Pacific Northwest College of Art,None
Gauri Gill,Indian,male,1970,,Parsons School of Design,Stanford University
Lucy Jones,Welsh,,1991,,Parsons School of Design,None
Zorawar Sidhu,American,,1985,,Penn. Academy of the Fine Arts,Hunter College
Pacifico Silano,American,,1986,,Pennsylvania College of Art & Design,School of Visual Arts
Federica Fragapane,Italian,,1988,,Politechnico di Milano,Politechnico di Milano
Alex Schweder,American,male,1970,,Pratt Institute,Princeton University
Shawn Sims,American,,1986,,Pratt Institute,Carnegie Mellon
Maggie Lee,American,,1987,,Pratt Institute,None
Raque Ford,American,,1986,,Pratt Institute ,Rutgers
Laura Owens,American,male,1970,US,Rhode Island School of Design,California Institute of the Arts
Frank Shepard Fairey,American,male,1970,N/A,Rhode Island School of Design,None
Tobias Frere-Jones,American,male,1970,,Rhode Island School of Design,None
John Newsom,American,male,1970,,Rhode Island School of Design,New York University
Martine Gutierrez,American,,1989,,Rhode Island School of Design,None
Runa Islam,British,male,1970,UK,Rijksakademie van Beeldende Kunsten,Royal College of Art
Malachi Farrell,Irish,male,1970,France,Rijksakademie van Beeldende Kunsten,None
Tadáskía,Brazilian,,1993,,Rio de Janeiro State University,Universidade Federal de Rio de Janeiro
Mark McKeague,Irish,,1989,,"Royal College of Art, London","Royal College of Art, London"
Bonnie Camplin,British,male,1970,UK,Central St Martins College of Art & Design,Central St Martins College of Art & Design
Christian Schumann,American,male,1970,US,San Francisco Art Institute,None
Alexandra Clotfelter,,,1989,,Savannah College of Art and Design,None
Gary Batty,American,male,1970,US,School of the Art Institute of Chicago,Parsons School of Design
Tony Lewis,American,,1986,,School of the Art Institute of Chicago,School of the Art Institute of Chicago
Shala Miller,American,,1993,,School of the Art Institute of Chicago,None
Marina Pinsky,Russian,,1986,,School of the Museum of Fine Arts Boston,UCLA
